name,application_id
e-business,245
infrastructures,52
systems,144
vortals,113
synergies,96
experiences,163
e-markets,13
infrastructures,139
deliverables,97
synergies,122
infomediaries,146
metrics,95
e-services,22
e-business,231
infomediaries,31
methodologies,210
e-tailers,107
methodologies,134
markets,172
applications,168
metrics,69
markets,228
solutions,165
applications,170
partnerships,73
e-business,3
relationships,62
paradigms,210
technologies,98
initiatives,156
experiences,45
interfaces,210
partnerships,165
niches,83
communities,133
networks,40
niches,216
niches,54
supply-chains,111
e-commerce,54
platforms,125
partnerships,150
metrics,132
infomediaries,247
web-readiness,187
web services,235
paradigms,51
web services,245
markets,63
portals,111
functionalities,67
communities,77
e-services,173
methodologies,67
e-commerce,14
e-services,44
networks,146
eyeballs,59
applications,221
partnerships,232
web-readiness,12
niches,170
applications,33
web-readiness,2
paradigms,208
partnerships,19
markets,227
content,61
platforms,202
platforms,177
convergence,248
solutions,142
markets,197
web-readiness,113
systems,177
infrastructures,25
content,148
web services,169
synergies,190
infrastructures,220
synergies,226
channels,228
content,48
supply-chains,222
paradigms,4
niches,99
bandwidth,179
communities,92
communities,59
initiatives,208
schemas,193
infrastructures,185
e-business,168
deliverables,52
e-business,222
platforms,61
interfaces,124
bandwidth,45
e-services,120
supply-chains,28
schemas,50
architectures,145
methodologies,38
solutions,30
ROI,126
relationships,3
e-tailers,138
users,107
content,242
platforms,174
experiences,64
models,6
ROI,193
e-services,34
paradigms,26
infrastructures,206
relationships,160
infrastructures,240
vortals,66
interfaces,83
systems,72
vortals,64
systems,234
architectures,31
ROI,135
models,43
systems,65
synergies,160
users,133
systems,22
users,116
interfaces,165
mindshare,39
platforms,171
deliverables,102
bandwidth,17
mindshare,61
partnerships,183
communities,45
e-services,130
initiatives,28
mindshare,218
e-commerce,103
web-readiness,27
channels,50
initiatives,132
paradigms,1
models,229
e-business,169
schemas,241
technologies,243
systems,42
mindshare,119
platforms,20
initiatives,71
synergies,206
e-commerce,210
interfaces,189
portals,24
content,119
portals,76
deliverables,106
content,182
eyeballs,28
e-services,168
ROI,181
e-tailers,8
experiences,242
supply-chains,126
convergence,225
e-markets,198
users,36
content,23
portals,122
interfaces,181
interfaces,23
metrics,172
relationships,17
paradigms,226
methodologies,52
technologies,22
technologies,97
functionalities,73
functionalities,165
infrastructures,188
paradigms,84
bandwidth,10
technologies,2
deliverables,221
functionalities,85
metrics,87
e-services,3
web services,4
architectures,132
niches,100
e-markets,31
platforms,56
schemas,4
ROI,27
solutions,64
users,78
schemas,36
supply-chains,196
channels,99
mindshare,78
relationships,195
e-commerce,223
systems,96
markets,191
web services,194
eyeballs,224
systems,197
vortals,36
content,203
niches,84
content,86
e-business,33
markets,157
synergies,68
eyeballs,176
web-readiness,30
networks,55
systems,196
synergies,35
networks,60
infrastructures,32
architectures,41
e-commerce,74
action-items,190
niches,73
e-tailers,190
communities,47
niches,5
action-items,15
infrastructures,166
functionalities,61
eyeballs,41
vortals,121
mindshare,189
interfaces,116
architectures,97
deliverables,87
relationships,230
functionalities,192
relationships,224
content,13
technologies,221
vortals,213
supply-chains,219
methodologies,56
e-markets,94
paradigms,237
web-readiness,194
models,160
relationships,141
interfaces,26
applications,10
experiences,201
initiatives,15
experiences,153
portals,222
paradigms,40
functionalities,57
systems,88
markets,212
niches,19
e-services,100
relationships,144
systems,180
applications,214
e-services,16
users,182
architectures,163
ROI,204
models,69
convergence,18
technologies,149
users,227
web services,165
models,152
models,128
schemas,211
technologies,100
metrics,161
communities,52
interfaces,21
portals,184
e-commerce,13
e-markets,111
synergies,11
paradigms,248
e-business,108
deliverables,234
web-readiness,242
mindshare,22
functionalities,218
ROI,114
niches,52
interfaces,34
technologies,134
platforms,234
functionalities,129
channels,17
interfaces,144
convergence,151
e-markets,40
models,30
e-commerce,112
portals,34
relationships,14
paradigms,66
markets,17
communities,61
markets,8
convergence,172
platforms,190
e-services,131
experiences,128
supply-chains,107
paradigms,98
partnerships,135
architectures,125
synergies,137
e-markets,12
experiences,35
partnerships,69
e-tailers,206
functionalities,134
communities,30
methodologies,105
users,202
web services,129
e-services,199
networks,21
convergence,75
convergence,78
channels,232
ROI,32
synergies,173
paradigms,42
solutions,44
infrastructures,196
systems,216
partnerships,20
